,score,id1,id2
116177,72,28,529
21097225,72,3691,6836
873033,72,150,344
6307572,72,924,3766
15448832,72,2266,5667
24077779,72,4644,6892
25620719,72,5161,5201
118734,72,28,3302
12816570,72,2065,2518
3576850,72,424,4712
3155029,72,470,4142
